sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4
883779813_Pg353_14.fsa,Pg353,EX_02,EX-S,164,0.03320664132826566,0.8269653930786157,0.002000400080016003,0.13782756551310263
883779813_Pg353_15.fsa,Pg353,EX_02,EX-S,165,0.136,0.5098,0.006,0.3482
883779813_Pg353_16.fsa,Pg353,EX_02,EX-S,166,0.1516,0.004999999999999999,0.0021999999999999997,0.8412000000000001
883779813_Pg353_17.fsa,Pg353,EX_02,EX-S,167,0.10700000000000001,0.46019999999999994,0.0032,0.4295999999999999
883779813_Pg353_18.fsa,Pg353,EX_02,EX-S,168,0.10322064412882577,0.5259051810362073,0.0022004400880176037,0.36867373474694937
883779813_Pg353_19.fsa,Pg353,EX_02,EX-S,169,0.230246049209842,0.6267253450690138,0.0022004400880176037,0.1408281656331266
883779813_Pg353_20.fsa,Pg353,EX_02,EX-S,170,0.22684536907381472,0.7017403480696139,0.002800560112022405,0.0686137227445489
883779813_Pg353_21.fsa,Pg353,EX_02,EX-S,171,0.2121575684863027,0.15636872625474904,0.002199560087982403,0.6292741451709658
883779813_Pg353_22.fsa,Pg353,EX_02,EX-S,172,0.30399999999999994,0.1464,0.0214,0.5282
883779813_Pg353_23.fsa,Pg353,EX_02,EX-S,173,0.044208841768353664,0.9439887977595519,0.0022004400880176033,0.009601920384076815
883779813_Pg353_24.fsa,Pg353,EX_02,EX-S,174,0.4272,0.3068,0.0092,0.25680000000000003
883779813_Pg354_01.fsa,Pg354,KY_06,KY,175,0.014997000599880024,0.003599280143971206,0.0021995600879824036,0.9792041591681664
883779813_Pg354_02.fsa,Pg354,KY_06,KY,176,0.007198560287942413,0.010997800439912017,0.002999400119976005,0.9788042391521694
883779813_Pg354_10.fsa,Pg354,KY_06,KY,177,0.017803560712142424,0.0028005601120224036,0.002400480096019204,0.9769953990798159
883779813_Pg354_11.fsa,Pg354,KY_06,KY,178,0.04379124175164967,0.0015996800639872023,0.0019996000799840027,0.952609478104379
883779813_Pg354_12.fsa,Pg354,KY_06,KY,179,0.004198320671731308,0.0031987205117952823,0.0017992802878848463,0.9908036785285884
883779813_Pg354_13.fsa,Pg354,KY_06,KY,180,0.0068000000000000005,0.006200000000000001,0.0034000000000000002,0.9836
883779813_Pg354_14.fsa,Pg354,KY_06,KY,181,0.00560112022404481,0.001800360072014403,0.002000400080016003,0.9905981196239249
883779813_Pg354_15.fsa,Pg354,KY_06,KY,182,0.0108,0.0032,0.0024000000000000002,0.9836
883779813_Pg354_22.fsa,Pg354,KY_06,KY,183,0.004000000000000001,0.0028000000000000004,0.014799999999999999,0.9783999999999999
883779813_Pg354_23.fsa,Pg354,KY_06,KY,184,0.003,0.004,0.003,0.9899999999999999
883779813_Pg354_24.fsa,Pg354,KY_06,KY,185,0.016400000000000005,0.0092,0.002,0.9724
883779813_Pg355_01.fsa,Pg355,EX_03,EX-S,186,0.19883976795359073,0.7971594318863773,0.003000600120024005,0.0010002000400080016
883779813_Pg355_02.fsa,Pg355,EX_03,EX-S,187,0.20051979208316673,0.7950819672131146,0.002399040383846462,0.001999200319872051
883779813_Pg355_03.fsa,Pg355,EX_03,EX-S,188,0.19296140771845632,0.7932413517296539,0.001999600079984003,0.011797640471905619
883779813_Pg355_04.fsa,Pg355,EX_03,EX-S,189,0.1338,0.384,0.0018000000000000002,0.48040000000000005
883779813_Pg355_05.fsa,Pg355,EX_03,EX-S,190,0.3044782087165133,0.4724110355857657,0.014394242303078765,0.20871651339464212
883779813_Pg355_06.fsa,Pg355,EX_03,EX-S,191,0.20711715313874451,0.7860855657736906,0.0021991203518592567,0.004598160735705718
883779813_Pg355_07.fsa,Pg355,EX_03,EX-S,192,0.2074829931972789,0.7851140456182473,0.0022008803521408565,0.005202080832332934
883779813_Pg355_08.fsa,Pg355,EX_03,EX-S,193,0.19419999999999998,0.12679999999999997,0.0452,0.6338
883779813_Pg355_09.fsa,Pg355,EX_03,EX-S,194,0.2006401280256051,0.7949589917983597,0.0024004800960192043,0.002000400080016003
