sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12
883779813_Pg350_06.fsa,Pg350,KY_03,KY,86,0.0043982407037185135,0.004598160735705719,0.9438224710115954,0.005597760895641742,0.0033986405437824874,0.010595761695321872,0.0043982407037185135,0.0037984806077568972,0.0029988004798080768,0.006797281087564975,0.0037984806077568972,0.00579768092762895
883779813_Pg350_07.fsa,Pg350,KY_03,KY,87,0.0010006003602161296,0.0020012007204322593,0.9495697418451071,0.0010006003602161296,0.0034020412247348407,0.023414048429057435,0.0038022813688212923,0.0012007204322593557,0.0012007204322593557,0.00640384230538323,0.0020012007204322593,0.005003001801080648
883779813_Pg350_08.fsa,Pg350,KY_03,KY,88,0.0034006801360272052,0.0020004000800160028,0.9307861572314463,0.0018003600720144029,0.006201240248049609,0.01940388077615523,0.008201640328065612,0.0054010802160432084,0.004600920184036806,0.0030006001200240046,0.01320264052810562,0.0020004000800160028
883779813_Pg350_09.fsa,Pg350,KY_03,KY,89,9.998000399920016e-4,0.002999400119976005,0.9806038792241552,9.998000399920016e-4,0.0017996400719856032,0.001999600079984003,0.001999600079984003,9.998000399920016e-4,0.0015996800639872027,0.001999600079984003,0.001999600079984003,0.001999600079984003
883779813_Pg350_10.fsa,Pg350,KY_03,KY,90,0.002003205128205128,0.002003205128205128,0.8102964743589743,0.001001602564102564,0.005408653846153845,0.00861378205128205,0.002003205128205128,0.002003205128205128,0.002003205128205128,0.1482371794871795,0.003004807692307692,0.013421474358974356
883779813_Pg350_11.fsa,Pg350,KY_03,KY,91,0.0012007204322593559,0.0020012007204322593,0.9713828296978188,0.0010006003602161296,0.003402041224734841,0.003001801080648389,0.003001801080648389,0.0020012007204322593,0.0018010806483890337,0.006603962377426456,0.0014008405043025817,0.0032019211526916154
883779813_Pg350_12.fsa,Pg350,KY_03,KY,92,0.0020008003201280513,0.002801120448179272,0.9397759103641457,0.0010004001600640256,0.003601440576230492,0.024409763905562223,0.012204881952781112,0.0020008003201280513,0.0012004801920768309,0.0028011204481792717,0.0024009603841536617,0.005802320928371348
883779813_Pg350_13.fsa,Pg350,KY_03,KY,93,0.001,0.005800000000000001,0.9606,0.0018000000000000002,0.0026000000000000003,0.004,0.0048000000000000004,0.001,0.0018000000000000002,0.007600000000000001,0.0014,0.007600000000000001
883779813_Pg350_14.fsa,Pg350,KY_03,KY,94,0.0035992801439712063,0.001999600079984003,0.9576084783043392,0.002799440111977604,0.005198960207958409,0.005398920215956809,0.002999400119976005,0.00559888022395521,0.002999400119976005,0.002799440111977605,0.001999600079984003,0.0069986002799440105
883779813_Pg350_15.fsa,Pg350,KY_03,KY,95,0.0012007204322593559,0.006603962377426456,0.8487092255353211,0.0018010806483890337,0.008004802881729039,0.014808885331198722,0.003001801080648389,0.0016009605763458077,0.005003001801080648,0.04922953772263358,0.0026015609365619375,0.05743446067640584
883779813_Pg350_16.fsa,Pg350,KY_03,KY,96,0.001598721023181455,0.004596322941646684,0.8521183053557155,9.992006394884093e-4,0.03017585931254996,0.0051958433253397295,0.0019984012789768186,9.992006394884093e-4,0.001798561151079137,0.08972821742605916,0.001398880895283773,0.009392486011191048
