sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
883779813_Pg350_19.fsa,Pg350,KY_03,KY,99,0.0010002000400080018,0.41628325665133026,0.003200640128025606,0.0012002400480096024,0.0010002000400080018,0.5773154630926186
883779813_Pg350_20.fsa,Pg350,KY_03,KY,100,0.0026000000000000003,0.39119999999999994,0.0116,0.0022,0.0024000000000000002,0.5900000000000001
883779813_Pg350_21.fsa,Pg350,KY_03,KY,101,0.001400560224089636,0.49679871948779514,0.0040016006402561035,0.0010004001600640259,0.0010004001600640259,0.4957983193277311
883779813_Pg350_22.fsa,Pg350,KY_03,KY,102,0.0016,0.4218,0.0106,0.0014,0.0027999999999999995,0.5618000000000001
883779813_Pg351_01.fsa,Pg351,KY_04,KY,103,0.0014002800560112022,0.9631926385277055,0.008201640328065614,0.0026005201040208044,0.0010002000400080016,0.02360472094418884
883779813_Pg351_02.fsa,Pg351,KY_04,KY,104,0.005802320928371348,0.9129651860744298,0.006202480992396959,0.044017607042817125,0.019407763105242094,0.011604641856742696
883779813_Pg351_03.fsa,Pg351,KY_04,KY,105,0.002400480096019204,0.9519903980796159,0.0072014402880576115,0.015003000600120022,0.005801160232046408,0.017603520704140826
883779813_Pg351_04.fsa,Pg351,KY_04,KY,106,0.00100080064051241,0.9895916733386709,0.002201761409127302,0.00100080064051241,0.001401120896717374,0.004803843074459568
883779813_Pg351_05.fsa,Pg351,KY_04,KY,107,0.004200840168033606,0.9065813162632527,0.017803560712142428,0.015203040608121624,0.005001000200040008,0.05121024204840968
883779813_Pg351_06.fsa,Pg351,KY_04,KY,108,0.0021995600879824036,0.9632073585282944,0.008598280343931213,0.00679864027194561,0.002799440111977604,0.01639672065586883
883779813_Pg351_07.fsa,Pg351,KY_04,KY,109,0.002399520095980804,0.927014597080584,0.03219356128774246,0.0021995600879824036,0.001999600079984003,0.03419316136772645
