sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
883779813_Pg351_12.fsa,Pg351,KY_04,KY,114,0.003001200480192077,0.19827931172468988,0.45918367346938777,0.0012004801920768309,0.3383353341336534
883779813_Pg351_13.fsa,Pg351,KY_04,KY,115,0.007603041216486595,0.19427771108443376,0.5912364945978391,0.006802721088435375,0.20008003201280514
883779813_Pg351_14.fsa,Pg351,KY_04,KY,116,0.02259096361455418,0.21571371451419433,0.5853658536585367,0.005397840863654539,0.17093162734906037
883779813_Pg351_15.fsa,Pg351,KY_04,KY,117,0.011602320464092817,0.19583916783356675,0.5563112622524505,0.0044008801760352075,0.2318463692738547
883779813_Pg351_16.fsa,Pg351,KY_04,KY,118,0.003601440576230492,0.19347739095638253,0.597639055622249,0.004001600640256103,0.20128051220488194
883779813_Pg351_17.fsa,Pg351,KY_04,KY,119,0.0017989206476114335,0.20367779332400554,0.5946432140715571,0.0017989206476114335,0.19808115130921447
883779813_Pg351_18.fsa,Pg351,KY_04,KY,120,0.002599480103979204,0.2005598880223955,0.5976804639072185,0.0027994401119776045,0.19636072785442912
883779813_Pg351_19.fsa,Pg351,KY_04,KY,121,0.0018000000000000002,0.1992,0.5944,0.003,0.2016
883779813_Pg351_20.fsa,Pg351,KY_04,KY,122,0.001999600079984003,0.2093581283743251,0.5892821435712858,0.001999600079984003,0.19736052789442113
883779813_Pg351_21.fsa,Pg351,KY_04,KY,123,0.0033986405437824866,0.22051179528188722,0.5927628948420631,0.0017992802878848463,0.18152738904438226
883779813_Pg351_22.fsa,Pg351,KY_04,KY,124,0.003599280143971206,0.2001599680063987,0.5892821435712858,0.004399120175964806,0.20255948810237948
883779813_Pg351_23.fsa,Pg351,KY_04,KY,125,0.006,0.1948,0.5975999999999999,0.0034000000000000002,0.1982
883779813_Pg351_24.fsa,Pg351,KY_04,KY,126,0.004200840168033608,0.25245049009801956,0.5923184636927386,0.002600520104020805,0.14842968593718744
883779813_Pg352_01.fsa,Pg352,KY_05,KY,127,0.0024004800960192043,0.17783556711342272,0.5953190638127626,0.0036007201440288058,0.22084416883376673
883779813_Pg352_02.fsa,Pg352,KY_05,KY,128,0.0022,0.16340000000000002,0.6232,0.0054,0.20579999999999998
883779813_Pg352_03.fsa,Pg352,KY_05,KY,129,0.0036000000000000003,0.1854,0.5917999999999999,0.0018000000000000002,0.21739999999999998
883779813_Pg352_04.fsa,Pg352,KY_05,KY,130,0.0021991203518592567,0.18152738904438226,0.6133546581367454,0.002399040383846462,0.20051979208316673
883779813_Pg352_05.fsa,Pg352,KY_05,KY,131,0.002199560087982403,0.11877624475104978,0.5056988602279544,0.0025994801039792045,0.3707258548290342
883779813_Pg352_06.fsa,Pg352,KY_05,KY,132,0.0021991203518592567,0.16153538584566177,0.5995601759296282,0.0021991203518592563,0.23450619752099158
883779813_Pg352_07.fsa,Pg352,KY_05,KY,133,0.001999600079984003,0.1887622475504899,0.5902819436112777,0.00599880023995201,0.21295740851829634
883779813_Pg352_08.fsa,Pg352,KY_05,KY,134,0.0022004400880176037,0.18043608721744347,0.5825165033006602,0.024604920984196837,0.21024204840968194
883779813_Pg352_09.fsa,Pg352,KY_05,KY,135,0.0024000000000000002,0.2008,0.5930000000000001,0.0022,0.20159999999999995
883779813_Pg352_10.fsa,Pg352,KY_05,KY,136,0.0033999999999999994,0.1852,0.5878,0.0038,0.2198
883779813_Pg352_11.fsa,Pg352,KY_05,KY,137,0.0036007201440288058,0.21024204840968191,0.5769153830766154,0.002400480096019204,0.2068413682736547
883779813_Pg352_12.fsa,Pg352,KY_05,KY,138,0.0026010404161664665,0.2006802721088435,0.5950380152060825,0.0022008803521408565,0.1994797919167667
883779813_Pg352_13.fsa,Pg352,KY_05,KY,139,0.002399520095980804,0.1993601279744051,0.5960807838432313,9.998000399920016e-4,0.20115976804639069
883779813_Pg352_14.fsa,Pg352,KY_05,KY,140,0.0015993602558976412,0.20091963214714115,0.5959616153538584,0.0017992802878848463,0.19972011195521794
883779813_Pg352_15.fsa,Pg352,KY_05,KY,141,0.002399520095980804,0.19996000799840033,0.5954809038192361,9.998000399920016e-4,0.2011597680463907
883779813_Pg352_16.fsa,Pg352,KY_05,KY,142,0.006001200240048009,0.19903980796159232,0.5933186637327466,0.001800360072014403,0.1998399679935987
883779813_Pg352_17.fsa,Pg352,KY_05,KY,143,0.004200000000000001,0.1862,0.596,0.0102,0.20339999999999997
883779813_Pg352_18.fsa,Pg352,KY_05,KY,144,0.0024014408645187113,0.19971983189913947,0.5945567340404243,0.0024014408645187113,0.20092055233139883
883779813_Pg352_19.fsa,Pg352,KY_05,KY,145,0.002399520095980804,0.1991601679664067,0.5940811837632474,0.001999600079984003,0.20235952809438112
883779813_Pg352_20.fsa,Pg352,KY_05,KY,146,0.015409245547328395,0.1366820092055233,0.5769461677006203,0.0010006003602161296,0.26996197718631176
883779813_Pg352_21.fsa,Pg352,KY_05,KY,147,0.0025994801039792045,0.19616076784643072,0.5932813437312539,0.004199160167966408,0.20375924815036991
883779813_Pg352_22.fsa,Pg352,KY_05,KY,148,0.002,0.1994,0.5962,0.001,0.20139999999999997
883779813_Pg352_23.fsa,Pg352,KY_05,KY,149,0.001999200319872051,0.19952019192323073,0.5961615353858457,9.996001599360256e-4,0.20131947221111554
883779813_Pg352_24.fsa,Pg352,KY_05,KY,150,0.002399520095980804,0.20155968806238753,0.5934813037392521,0.001999600079984003,0.2005598880223955
883779813_Pg353_01.fsa,Pg353,EX_02,EX-S,151,0.7302,0.0142,0.2182,0.0012000000000000001,0.036199999999999996
883779813_Pg353_02.fsa,Pg353,EX_02,EX-S,152,0.8925785157031407,0.014002800560112022,0.07441488297659532,0.004200840168033608,0.014802960592118424
883779813_Pg353_03.fsa,Pg353,EX_02,EX-S,153,0.2340468093618724,0.00580116023204641,0.6199239847969593,0.004600920184036808,0.13562712542508504
883779813_Pg353_04.fsa,Pg353,EX_02,EX-S,154,0.1167766446710658,0.08858228354329134,0.5892821435712858,0.02439512097580484,0.1809638072385523
883779813_Pg353_05.fsa,Pg353,EX_02,EX-S,155,0.04678128748500599,0.07257097161135546,0.6651339464214314,0.04198320671731307,0.17353058776489405
883779813_Pg353_06.fsa,Pg353,EX_02,EX-S,156,0.653938424630148,0.006397441023590563,0.26609356257497,0.0031987205117952815,0.07037185125949619
883779813_Pg353_07.fsa,Pg353,EX_02,EX-S,157,0.9914,0.0024000000000000002,0.0022,0.002,0.002
883779813_Pg353_08.fsa,Pg353,EX_02,EX-S,158,0.1184236847369474,0.022004400880176037,0.6325265053010602,0.03340668133626726,0.19363872774554913
883779813_Pg353_09.fsa,Pg353,EX_02,EX-S,159,0.07901580316063211,0.024404880976195236,0.6811362272454491,0.036207241448289657,0.1792358471694339
883779813_Pg353_10.fsa,Pg353,EX_02,EX-S,160,0.3916,0.0086,0.45760000000000006,0.0308,0.11140000000000001
883779813_Pg353_11.fsa,Pg353,EX_02,EX-S,161,0.2830867652938825,0.04518192722910836,0.5461815273890444,0.004598160735705718,0.1209516193522591
883779813_Pg353_12.fsa,Pg353,EX_02,EX-S,162,0.5131026205241048,0.00740148029605921,0.3782756551310261,0.0034006801360272044,0.09781956391278256
883779813_Pg353_13.fsa,Pg353,EX_02,EX-S,163,0.3584716943388678,0.004400880176035207,0.5123024604920984,0.002000400080016003,0.12282456491298259
883779813_Pg353_14.fsa,Pg353,EX_02,EX-S,164,0.8221999999999999,0.0306,0.0878,0.002,0.05739999999999999
883779813_Pg353_15.fsa,Pg353,EX_02,EX-S,165,0.5394921015796841,0.004599080183963208,0.3657268546290742,0.004199160167966408,0.08598280343931214
883779813_Pg353_16.fsa,Pg353,EX_02,EX-S,166,0.008403361344537816,0.024009603841536616,0.735094037615046,0.002200880352140856,0.2302921168467387
883779813_Pg353_17.fsa,Pg353,EX_02,EX-S,167,0.5332,0.0178,0.33799999999999997,0.0024000000000000002,0.1086
883779813_Pg353_18.fsa,Pg353,EX_02,EX-S,168,0.54749050189962,0.005398920215956808,0.3597280543891221,0.0019996000799840027,0.08538292341531692
