sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.0016,0.002,0.0016,0.0014,0.0056,0.0038,0.7824,0.2016
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.0012000000000000001,0.0014,0.0022,0.001,0.002,0.002,0.7904,0.1998
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.0026015609365619375,0.0012007204322593559,0.0018010806483890337,0.0014008405043025817,0.0024014408645187117,0.0022013207924754855,0.7902741644986992,0.19811887132279368
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.0018010806483890337,0.005603362017210327,0.0032019211526916154,0.0020012007204322597,0.008805283169901942,0.005803482089253553,0.7704622773664199,0.2023213928357014
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.0028016810086051638,0.0014008405043025817,0.0010006003602161296,0.0014008405043025817,0.0054032419451671004,0.017010206123674203,0.777666599959976,0.19331598959375623
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.0016022431403965552,0.0012016823552974164,0.001001401962747847,0.0012016823552974164,0.0016022431403965552,0.0018025235329461246,0.792509513318646,0.19907871019427198
883779813_Pg346_17.fsa,Pg346,IN_01,IN,17,0.0021999999999999997,0.0012000000000000001,0.0064,0.0012000000000000001,0.0066,0.0032,0.783,0.19619999999999999
883779813_Pg346_18.fsa,Pg346,IN_01,IN,18,0.001199760047990402,9.998000399920016e-4,0.0015996800639872027,0.001199760047990402,0.0021995600879824036,0.03679264147170566,0.765246950609878,0.1907618476304739
883779813_Pg346_19.fsa,Pg346,IN_01,IN,19,0.0026005201040208044,0.0028005601120224045,0.0022004400880176037,0.002800560112022405,0.0038007601520304063,0.005601120224044808,0.7715543108621725,0.2086417283456691
883779813_Pg346_20.fsa,Pg346,IN_01,IN,20,0.001600960576345808,0.001600960576345808,0.006403842305383232,0.0010006003602161299,0.004002401440864519,0.0034020412247348416,0.7530518310986593,0.22893736241745044
883779813_Pg346_21.fsa,Pg346,IN_01,IN,21,0.0017996400719856032,0.0013997200559888023,0.001199760047990402,0.0057988402319536095,0.0015996800639872027,0.013397320535892822,0.7726454709058188,0.20215956808638272
883779813_Pg346_22.fsa,Pg346,IN_01,IN,22,0.0014002800560112022,0.001800360072014403,0.0012002400480096021,0.0012002400480096021,0.002000400080016003,0.0022004400880176037,0.7857571514302861,0.2044408881776355
883779813_Pg346_23.fsa,Pg346,IN_01,IN,23,0.0018007202881152463,0.0018007202881152463,0.0010004001600640256,0.0012004801920768309,0.0022008803521408565,0.0026010404161664665,0.7903161264505802,0.1990796318527411
883779813_Pg346_24.fsa,Pg346,IN_01,IN,24,0.0016003200640128028,0.0014002800560112022,0.0014002800560112022,0.0010002000400080016,0.003000600120024005,0.0024004800960192043,0.7893578715743148,0.19983996799359874
883779813_Pg347_01.fsa,Pg347,KY_02,KY,25,0.0064,0.0026000000000000003,0.0016,0.0034000000000000002,0.008799999999999999,0.1964,0.5795999999999999,0.2012
883779813_Pg347_02.fsa,Pg347,KY_02,KY,26,0.015012009607686151,0.0010008006405124099,0.0010008006405124099,0.005404323458767013,0.004603682946357085,0.20296236989591673,0.5778622898318655,0.19215372297838268
883779813_Pg347_03.fsa,Pg347,KY_02,KY,27,0.024980015987210235,0.004596322941646683,0.0033972821742605922,0.006195043964828137,0.028776978417266192,0.22082334132693848,0.5129896083133494,0.1982414068745004
883779813_Pg347_11.fsa,Pg347,KY_02,KY,28,0.008593125499600321,0.0025979216626698647,0.005395683453237411,0.019584332533972824,0.03477218225419665,0.21223021582733814,0.547761790567546,0.16906474820143885
883779813_Pg347_12.fsa,Pg347,KY_02,KY,29,0.004402641584950971,0.0014008405043025817,0.0016009605763458077,0.017410446267760657,0.0032019211526916154,0.19571743045827497,0.5711426856113668,0.20512307384430659
883779813_Pg347_17.fsa,Pg347,KY_02,KY,30,0.002401921537229784,0.001401120896717374,0.001401120896717374,0.008406725380304245,0.008406725380304245,0.20256204963971175,0.5802642113690952,0.19515612489991996
883779813_Pg347_18.fsa,Pg347,KY_02,KY,31,0.004597241655006996,0.003198081151309215,0.007995202878273037,0.012992204677193685,0.045572656406156306,0.20167899260443733,0.543074155506696,0.18089146512092744
883779813_Pg347_21.fsa,Pg347,KY_02,KY,32,0.03599280143971206,0.017596480703859226,0.0035992801439712063,0.00599880023995201,0.002399520095980804,0.18956208758248352,0.5400919816036793,0.20475904819036195
883779813_Pg347_22.fsa,Pg347,KY_02,KY,33,0.0018007202881152463,0.0034013605442176874,0.008003201280512205,0.0014005602240896359,0.015006002400960384,0.2705082032813126,0.5280112044817927,0.1718687474989996
883779813_Pg347_23.fsa,Pg347,KY_02,KY,34,0.0018010806483890337,0.0012007204322593559,0.0018010806483890337,0.0014008405043025817,0.014808885331198722,0.25675405243145893,0.5471282769661797,0.1751050630378227
