sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13
883779813_Pg349_21.fsa,Pg349,KY_01,KY,77,0.7856285028022418,0.00100080064051241,0.00100080064051241,0.00200160128102482,0.00200160128102482,0.00100080064051241,0.0024019215372297845,0.1967574059247398,0.00200160128102482,0.00100080064051241,0.0018014411529223382,0.0012009607686148923,0.002201761409127302
883779813_Pg349_22.fsa,Pg349,KY_01,KY,78,0.7724814740636892,0.004205888243540958,0.0012016823552974164,0.002203084318045263,0.002403364710594833,0.001001401962747847,0.003805327458441818,0.18946525135189266,0.002002803925495694,0.012417384338073302,0.0014019627478469858,0.0022030843180452634,0.0052072902062888045
883779813_Pg349_23.fsa,Pg349,KY_01,KY,79,0.7656,0.002,0.001,0.0066,0.0034000000000000002,0.002,0.0134,0.18660000000000002,0.010599999999999998,0.0012000000000000001,0.0018000000000000002,0.002,0.0038
883779813_Pg349_24.fsa,Pg349,KY_01,KY,80,0.7779555911182237,0.003600720144028806,0.002600520104020805,0.00600120024004801,0.003600720144028806,0.0010002000400080016,0.002600520104020805,0.18683736747349475,0.007201440288057612,0.0016003200640128028,0.002000400080016003,0.0028005601120224045,0.0022004400880176033
883779813_Pg350_01.fsa,Pg350,KY_03,KY,81,0.011006603962377428,0.0010006003602161299,0.0010006003602161299,0.9677806684010406,0.003802281368821293,0.0010006003602161299,0.0030018010806483896,0.0034020412247348416,0.0020012007204322597,0.0010006003602161299,0.0012007204322593559,0.0012007204322593559,0.002601560936561938
883779813_Pg350_02.fsa,Pg350,KY_03,KY,82,0.1474589835934374,0.00820328131252501,0.015406162464985995,0.13565426170468187,0.00900360144057623,0.006002400960384154,0.012204881952781112,0.17747098839535816,0.018807523009203686,0.012204881952781112,0.26150460184073626,0.02100840336134454,0.17507002801120447
883779813_Pg350_03.fsa,Pg350,KY_03,KY,83,0.0029982010793523886,0.0019988007195682594,9.994003597841297e-4,0.9778133120127923,0.0019988007195682594,9.994003597841297e-4,9.994003597841297e-4,0.0029982010793523886,0.0019988007195682594,9.994003597841297e-4,0.0011992804317409555,0.0019988007195682594,0.0029982010793523886
883779813_Pg350_04.fsa,Pg350,KY_03,KY,84,0.004597241655006995,0.001998800719568259,0.006995802518488907,0.9018588846691984,0.016989806116330202,9.994003597841295e-4,0.03597841295222866,0.012192684389366376,0.004997001798920647,0.001798920647611433,0.0013991605036977812,0.004597241655006996,0.0055966420147911256
883779813_Pg350_05.fsa,Pg350,KY_03,KY,85,0.2918334667734187,0.00100080064051241,0.00100080064051241,0.605084067253803,0.003602882305844676,0.00100080064051241,0.001200960768614892,0.0856685348278623,0.00200160128102482,0.00100080064051241,0.001601281024819856,0.001200960768614892,0.0038030424339471577
883779813_Pg350_06.fsa,Pg350,KY_03,KY,86,0.002199560087982403,0.003599280143971206,0.004399120175964807,0.9368126374725055,0.003999200159968006,0.003999200159968006,0.0045990801839632086,0.01199760047990402,0.004999000199960009,0.002399520095980804,0.004199160167966408,0.0061987602479504095,0.010597880423915216
883779813_Pg350_07.fsa,Pg350,KY_03,KY,87,0.00700280112044818,0.0010004001600640256,0.0010004001600640256,0.947579031612645,0.0020008003201280513,0.0020008003201280513,0.003201280512204882,0.004601840736294518,0.005002000800320128,0.0010004001600640256,0.0012004801920768309,0.0020008003201280513,0.022408963585434177
883779813_Pg350_08.fsa,Pg350,KY_03,KY,88,0.004803843074459567,0.0040032025620496394,0.0012009607686148918,0.9295436349079264,0.0020016012810248197,0.013610888710968775,0.008006405124099279,0.0022017614091273015,0.0020016012810248197,0.005804643714971977,0.0040032025620496394,0.0032025620496397116,0.019615692554043232
883779813_Pg350_09.fsa,Pg350,KY_03,KY,89,0.001999200319872051,9.996001599360256e-4,9.996001599360256e-4,0.9792083166733306,0.0029988004798080768,0.001999200319872051,0.001999200319872051,0.001999200319872051,0.001999200319872051,0.0013994402239104358,0.001199520191923231,0.001199520191923231,0.001999200319872051
883779813_Pg350_10.fsa,Pg350,KY_03,KY,90,0.009403761504601841,0.0020008003201280513,0.0010004001600640256,0.7843137254901961,0.0020008003201280513,0.0020008003201280513,0.0020008003201280513,0.1802721088435374,0.0020008003201280513,0.0020008003201280513,0.003001200480192077,0.003001200480192077,0.0070028011204481795
883779813_Pg350_11.fsa,Pg350,KY_03,KY,91,0.006204963971176942,0.00200160128102482,0.00100080064051241,0.9681745396317053,0.00200160128102482,0.00100080064051241,0.00300240192153723,0.005804643714971977,0.00300240192153723,0.00200160128102482,0.001401120896717374,0.001401120896717374,0.00300240192153723
