sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
883779813_Pg355_10.fsa,Pg355,EX_03,EX-S,195,0.0025989604158336665,0.9868052778888444,0.0021991203518592567,0.0031987205117952823,0.0013994402239104358,0.0017992802878848463,0.001999200319872051
883779813_Pg355_11.fsa,Pg355,EX_03,EX-S,196,0.0028,0.986,0.0026,0.0024000000000000002,0.0016,0.0018000000000000002,0.0028
883779813_Pg355_12.fsa,Pg355,EX_03,EX-S,197,0.0037962037962037958,0.9842157842157842,0.0029970029970029966,0.0023976023976023976,0.001998001998001998,0.0025974025974025974,0.001998001998001998
883779813_Pg355_13.fsa,Pg355,EX_03,EX-S,198,0.0102,0.9587999999999999,0.0058000000000000005,0.0082,0.0068000000000000005,0.0072,0.003
883779813_Pg355_14.fsa,Pg355,EX_03,EX-S,199,0.002399040383846462,0.9874050379848062,0.001999200319872051,0.0025989604158336665,0.0017992802878848463,0.0015993602558976412,0.0021991203518592567
883779813_Pg355_15.fsa,Pg355,EX_03,EX-S,200,0.004399120175964807,0.9480103979204159,0.014397120575884824,0.005398920215956808,0.007198560287942413,0.015596880623875225,0.004999000199960009
883779813_Pg355_16.fsa,Pg355,EX_03,EX-S,201,0.004598160735705719,0.012994802079168335,0.9564174330267893,0.002598960415833667,0.014394242303078768,0.006397441023590565,0.002598960415833667
883779813_Pg355_17.fsa,Pg355,EX_03,EX-S,202,0.003,0.9856,0.0027999999999999995,0.0026,0.0014,0.0022,0.0024000000000000002
883779813_Pg355_18.fsa,Pg355,EX_03,EX-S,203,0.0014005602240896359,0.9903961584633852,0.001600640256102441,0.0018007202881152463,0.0010004001600640256,0.0018007202881152463,0.0020008003201280513
883779813_Pg355_19.fsa,Pg355,EX_03,EX-S,204,0.0016,0.99,0.0016,0.002,0.0012000000000000001,0.0018000000000000002,0.0018000000000000002
883779813_Pg355_20.fsa,Pg355,EX_03,EX-S,205,0.007398520295940811,0.8930213957208557,0.013197360527894421,0.0021995600879824036,0.023195360927814435,0.05858828234353129,0.002399520095980804
883779813_Pg355_21.fsa,Pg355,EX_03,EX-S,206,0.0025994801039792045,0.001999600079984003,0.9832033593281343,0.0019996000799840036,0.004399120175964807,0.003599280143971206,0.0021995600879824036
883779813_Pg355_22.fsa,Pg355,EX_03,EX-S,207,0.002601040416166467,0.001800720288115246,0.9723889555822329,0.004201680672268907,0.00860344137655062,0.004401760704281713,0.006002400960384154
883779813_Pg355_23.fsa,Pg355,EX_03,EX-S,208,0.0012007204322593557,0.9899939963978387,0.0010006003602161296,0.0020012007204322593,0.0012007204322593557,0.0030018010806483887,0.0016009605763458075
883779813_Pg355_24.fsa,Pg355,EX_03,EX-S,209,0.00100080064051241,0.9913931144915932,0.00100080064051241,0.0018014411529223382,0.00100080064051241,0.0018014411529223382,0.00200160128102482
883779813_Pg356_01.fsa,Pg356,TNE_02,TNE,210,0.0021978021978021982,0.20019980019980022,0.0015984015984015986,0.0019980019980019984,0.0019980019980019984,0.002397602397602398,0.7896103896103897
883779813_Pg356_02.fsa,Pg356,TNE_02,TNE,211,0.0012007204322593559,0.1989193516109666,0.0014008405043025817,0.003001801080648389,0.0010006003602161296,0.0020012007204322593,0.7924754852911746
883779813_Pg356_03.fsa,Pg356,TNE_02,TNE,212,0.0016003200640128026,0.19803960792158432,0.0016003200640128026,0.003200640128025605,0.001800360072014403,0.0022004400880176037,0.7915583116623325
883779813_Pg356_04.fsa,Pg356,TNE_02,TNE,213,0.0021991203518592567,0.20171931227508996,0.0015993602558976412,0.002399040383846462,0.001999200319872051,0.002399040383846462,0.7876849260295882
883779813_Pg356_05.fsa,Pg356,TNE_02,TNE,214,0.004000800160032006,0.1988397679535907,0.0016003200640128026,0.007401480296059211,0.0014002800560112022,0.0022004400880176037,0.7845569113822765
883779813_Pg356_06.fsa,Pg356,TNE_02,TNE,215,0.0018010806483890337,0.19791875125075045,0.0026015609365619375,0.0048028817290374235,0.0024014408645187117,0.0026015609365619375,0.7878727236341805
883779813_Pg356_07.fsa,Pg356,TNE_02,TNE,216,0.0022,0.20059999999999997,0.0016,0.0024000000000000002,0.002,0.0032,0.7879999999999999
883779813_Pg356_08.fsa,Pg356,TNE_02,TNE,217,0.0022008803521408565,0.18447378951580634,0.0012004801920768309,0.06262505002000801,0.0012004801920768309,0.010204081632653062,0.738095238095238
883779813_Pg356_09.fsa,Pg356,TNE_02,TNE,218,0.0026000000000000003,0.1976,0.0022,0.0024000000000000002,0.002,0.003,0.7901999999999999
883779813_Pg356_10.fsa,Pg356,TNE_02,TNE,219,0.0040016006402561035,0.19747899159663868,0.0016006402561024413,0.004201680672268909,0.0010004001600640259,0.005002000800320129,0.7867146858743498
883779813_Pg356_11.fsa,Pg356,TNE_02,TNE,220,0.003001200480192077,0.19687875150060025,0.001600640256102441,0.0018007202881152463,0.0014005602240896359,0.0024009603841536617,0.7929171668667467
883779813_Pg356_12.fsa,Pg356,TNE_02,TNE,221,0.001999600079984003,0.1985602879424115,0.002399520095980804,0.001999600079984003,0.0021995600879824036,0.002399520095980804,0.7904419116176764
883779813_Pg356_13.fsa,Pg356,TNE_02,TNE,222,0.0010004001600640256,0.1986794717887155,0.001600640256102441,0.0020008003201280513,0.001600640256102441,0.0018007202881152463,0.7933173269307723
