sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
883779813_Pg350_07.fsa,Pg350,KY_03,KY,87,0.9448110377924415,0.002999400119976005,0.009598080383923216,0.001199760047990402,0.028994201159768054,0.00599880023995201,0.001999600079984003,0.0015996800639872027,0.0027994401119776045
883779813_Pg350_08.fsa,Pg350,KY_03,KY,88,0.8845538215286115,0.021608643457382955,0.004001600640256103,0.005002000800320128,0.04921968787515006,0.005202080832332933,0.011804721888755502,0.013005202080832334,0.0056022408963585435
883779813_Pg350_09.fsa,Pg350,KY_03,KY,89,0.9800000000000001,0.0024000000000000002,0.0024000000000000002,0.0014,0.0024000000000000002,0.0028,0.0014,0.0018000000000000002,0.005399999999999999
883779813_Pg350_10.fsa,Pg350,KY_03,KY,90,0.8595438175270108,0.003201280512204882,0.11224489795918366,0.002200880352140856,0.011204481792717087,0.003201280512204882,0.0024009603841536617,0.001800720288115246,0.004201680672268908
883779813_Pg350_11.fsa,Pg350,KY_03,KY,91,0.9747899159663865,0.0024009603841536617,0.007803121248499401,0.001600640256102441,0.003601440576230492,0.003201280512204882,0.0020008003201280513,0.0014005602240896359,0.003201280512204882
883779813_Pg350_12.fsa,Pg350,KY_03,KY,92,0.9259703881552621,0.007002801120448181,0.005002000800320127,0.0014005602240896359,0.034813925570228096,0.016206482593037214,0.003001200480192077,0.0020008003201280513,0.004601840736294518
883779813_Pg350_13.fsa,Pg350,KY_03,KY,93,0.9717887154861945,0.0018007202881152465,0.008003201280512205,0.0016006402561024413,0.004401760704281714,0.0040016006402561035,0.0010004001600640259,0.0016006402561024413,0.005802320928371351
883779813_Pg350_14.fsa,Pg350,KY_03,KY,94,0.9446110777844432,0.010197960407918417,0.00599880023995201,0.0031993601279744054,0.007998400319936013,0.008598280343931213,0.01359728054389122,0.0031993601279744054,0.002599480103979204
883779813_Pg350_15.fsa,Pg350,KY_03,KY,95,0.8341004602761657,0.0016009605763458075,0.11927156293776266,0.002201320792475485,0.014008405043025817,0.013007804682809687,0.0014008405043025814,0.0018010806483890335,0.012607564538723233
883779813_Pg350_16.fsa,Pg350,KY_03,KY,96,0.9047809561912383,0.0024004800960192043,0.07261452290458092,0.001800360072014403,0.004600920184036808,0.0068013602720544105,0.0010002000400080016,0.0010002000400080016,0.005001000200040008
883779813_Pg350_17.fsa,Pg350,KY_03,KY,97,0.9513805522208884,0.02180872348939576,0.010004001600640256,0.0010004001600640256,0.0022008803521408565,0.0078031212484993995,0.0012004801920768309,0.0010004001600640256,0.0036014405762304926
883779813_Pg350_18.fsa,Pg350,KY_03,KY,98,0.048990201959608085,0.02379524095180964,0.3435312937412518,0.007798440311937614,0.03459308138372325,0.5032993401319735,0.009198160367926417,0.005598880223955209,0.023195360927814438
883779813_Pg350_19.fsa,Pg350,KY_03,KY,99,0.8950209958008398,0.0015996800639872027,0.03759248150369926,0.001199760047990402,0.02499500099980004,0.002999400119976005,9.998000399920016e-4,0.001199760047990402,0.03439312137572485
883779813_Pg350_20.fsa,Pg350,KY_03,KY,100,0.976604679064187,0.005398920215956809,0.002999400119976005,0.001999600079984003,0.002799440111977604,0.005598880223955208,0.0013997200559888023,0.001199760047990402,0.001999600079984003
883779813_Pg350_21.fsa,Pg350,KY_03,KY,101,0.9522191123550581,0.0015993602558976412,0.005797680927628949,0.0013994402239104358,0.02598960415833667,0.004198320671731308,9.996001599360256e-4,9.996001599360256e-4,0.006797281087564975
883779813_Pg350_22.fsa,Pg350,KY_03,KY,102,0.9067627050820328,0.0020008003201280513,0.01720688275310124,0.0014005602240896359,0.06142456982793117,0.004601840736294518,0.001600640256102441,0.0014005602240896359,0.0036014405762304926
883779813_Pg351_01.fsa,Pg351,KY_04,KY,103,0.01520912547528517,0.002801681008605163,0.02661596958174905,0.0020012007204322597,0.9363618170902541,0.00840504302581549,0.0010006003602161296,0.0010006003602161296,0.006603962377426455
883779813_Pg351_02.fsa,Pg351,KY_04,KY,104,0.0076,0.0048000000000000004,0.0058000000000000005,0.02,0.921,0.004999999999999999,0.010600000000000002,0.016999999999999998,0.008200000000000002
883779813_Pg351_03.fsa,Pg351,KY_04,KY,105,0.008198360327934414,0.002399520095980804,0.01699660067986403,0.0035992801439712063,0.9408118376324736,0.002999400119976005,0.005198960207958409,0.00579884023195361,0.013997200559888024
883779813_Pg351_04.fsa,Pg351,KY_04,KY,106,0.009005403241945166,0.0010006003602161296,0.0054032419451671004,0.0010006003602161296,0.9671803081849109,0.0018010806483890335,0.0014008405043025814,0.0010006003602161296,0.01220732439463678
883779813_Pg351_05.fsa,Pg351,KY_04,KY,107,0.009601920384076815,0.0030006001200240046,0.00740148029605921,0.0030006001200240046,0.9167833566713343,0.012202440488097616,0.0032006401280256047,0.004400880176035207,0.04040808161632326
883779813_Pg351_06.fsa,Pg351,KY_04,KY,108,0.005200000000000001,0.0038000000000000004,0.003,0.0028,0.9684000000000001,0.0064,0.0032,0.003,0.0042
883779813_Pg351_07.fsa,Pg351,KY_04,KY,109,0.00860344137655062,0.0016006402561024409,0.06142456982793117,0.001800720288115246,0.9123649459783914,0.005602240896358542,0.0012004801920768306,0.0014005602240896356,0.006002400960384153
883779813_Pg351_08.fsa,Pg351,KY_04,KY,110,0.0024009603841536617,0.0012004801920768309,0.0028011204481792717,0.0010004001600640256,0.9829931972789115,0.002801120448179272,0.0010004001600640256,0.0012004801920768309,0.004601840736294518
883779813_Pg351_09.fsa,Pg351,KY_04,KY,111,0.007001400280056012,0.0010002000400080016,0.023004600920184037,0.0010002000400080016,0.9459891978395679,0.012202440488097618,0.001800360072014403,0.0016003200640128026,0.00640128025605121
883779813_Pg351_10.fsa,Pg351,KY_04,KY,112,0.0054,0.0012000000000000001,0.0028000000000000004,0.001,0.9822000000000001,0.0022,0.002,0.001,0.0021999999999999997
883779813_Pg351_11.fsa,Pg351,KY_04,KY,113,0.005198960207958409,0.0023995200959808036,0.025394921015796833,9.998000399920014e-4,0.9202159568086382,0.007398520295940811,0.0031993601279744046,0.003399320135972805,0.031793641271745644
883779813_Pg351_12.fsa,Pg351,KY_04,KY,114,0.08383353341336537,0.002801120448179272,0.09743897559023611,0.0012004801920768309,0.7855142056822728,0.020608243297318928,0.002801120448179272,0.001600640256102441,0.004201680672268908
