sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11
883779813_Pg348_22.fsa,Pg348,EX_01,EX-S,56,0.002601560936561937,0.0016009605763458077,0.0024014408645187117,0.0020012007204322593,0.9817890734440664,0.0024014408645187117,0.0010006003602161296,0.0010006003602161296,0.0028016810086051633,0.0010006003602161296,0.0014008405043025817
883779813_Pg348_23.fsa,Pg348,EX_01,EX-S,57,0.005797680927628949,0.0015993602558976412,0.006797281087564975,0.0037984806077568972,0.9508196721311476,0.002399040383846462,9.996001599360256e-4,0.010395841663334668,0.010795681727309077,9.996001599360256e-4,0.005597760895641743
883779813_Pg348_24.fsa,Pg348,EX_01,EX-S,58,0.0044,0.0038,0.0036000000000000003,0.0026000000000000003,0.9554,0.0022,0.0078,0.008,0.0024000000000000002,0.006,0.0038
883779813_Pg349_01.fsa,Pg349,KY_01,KY,59,0.014788169464428458,0.503796962430056,0.004796163069544365,0.005795363709032774,0.33073541167066345,0.002797761790567546,0.004996003197442047,0.026179056754596326,0.09092725819344524,0.001798561151079137,0.013389288569144685
883779813_Pg349_02.fsa,Pg349,KY_01,KY,60,0.004798080767692924,0.576969212315074,0.0075969612155137945,0.007996801279488205,0.3804478208716513,0.002399040383846462,0.003598560575769692,0.005397840863654539,0.0029988004798080768,9.996001599360256e-4,0.006797281087564975
883779813_Pg349_03.fsa,Pg349,KY_01,KY,61,0.0040016006402561035,0.5634253701480593,0.01480592236894758,0.01320528211284514,0.38875550220088034,0.0026010404161664674,0.0010004001600640259,0.002400960384153662,0.005602240896358544,0.0016006402561024413,0.0026010404161664674
883779813_Pg349_04.fsa,Pg349,KY_01,KY,62,0.002802802802802803,0.5751751751751752,0.003803803803803804,0.013013013013013016,0.39219219219219215,0.0036036036036036045,0.0012012012012012014,0.0010010010010010012,0.003803803803803804,0.0014014014014014015,0.002002002002002003
883779813_Pg349_07.fsa,Pg349,KY_01,KY,63,0.0020024028834601526,0.5875050060072087,0.0022026431718061676,0.009211053263916703,0.38486183420104125,0.00460552663195835,0.0010012014417300763,0.0010012014417300763,0.002202643171806167,0.0014016820184221067,0.004004805766920304
883779813_Pg349_08.fsa,Pg349,KY_01,KY,64,0.002,0.5886,0.0021999999999999997,0.0024000000000000002,0.3932,0.0024000000000000002,0.0016,0.0016,0.0028,0.0012000000000000001,0.002
883779813_Pg349_09.fsa,Pg349,KY_01,KY,65,0.0026005201040208044,0.5879175835167033,0.0026005201040208044,0.0034006801360272057,0.39347869573914784,0.002000400080016003,0.0010002000400080016,0.0010002000400080016,0.003600720144028806,0.0010002000400080016,0.0014002800560112022
883779813_Pg349_10.fsa,Pg349,KY_01,KY,66,0.00599880023995201,0.5768846230753849,0.007398520295940813,0.008598280343931213,0.384123175364927,0.008198360327934414,9.998000399920016e-4,0.0015996800639872027,0.002399520095980804,0.0013997200559888023,0.002399520095980804
883779813_Pg349_11.fsa,Pg349,KY_01,KY,67,0.016413130504403524,0.5584467574059248,0.0038030424339471573,0.0036028823058446755,0.4017213771016813,0.0030024019215372294,0.0014011208967173738,0.001801441152922338,0.00700560448358687,0.0010008006405124099,0.001801441152922338
883779813_Pg349_12.fsa,Pg349,KY_01,KY,68,0.0027988804478208725,0.5789684126349461,0.0031987205117952828,0.009796081567373053,0.38684526189524193,0.0047980807676929246,9.996001599360258e-4,0.0011995201919232311,0.0029988004798080776,9.996001599360258e-4,0.007397041183526592
883779813_Pg349_13.fsa,Pg349,KY_01,KY,69,0.005205205205205206,0.5807807807807808,0.0030030030030030034,0.006806806806806807,0.38618618618618616,0.005405405405405407,0.002202202202202203,0.0018018018018018023,0.0020020020020020024,0.003403403403403404,0.0032032032032032038
883779813_Pg349_14.fsa,Pg349,KY_01,KY,70,0.001999600079984003,0.5886822635472906,0.0027994401119776045,0.003999200159968006,0.39352129574085176,0.001999600079984003,9.998000399920016e-4,0.001199760047990402,0.002399520095980804,9.998000399920016e-4,0.0013997200559888023
